id,class,age,sex,survived
1212,third,adult,female,no
1213,third,adult,female,no
1214,third,adult,female,no
1215,third,adult,female,no
1216,third,adult,female,no
1217,third,adult,female,no
1218,third,adult,female,no
1219,third,adult,female,no
1220,third,adult,female,no
1221,third,adult,female,no
1222,third,adult,female,no
1223,third,adult,female,no
1224,third,adult,female,no
1225,third,adult,female,no
1226,third,adult,female,no
1227,third,adult,female,no
1228,third,adult,female,no
1229,third,adult,female,no
1230,third,adult,female,no
1231,third,adult,female,no
1232,third,adult,female,no
1233,third,adult,female,no
1234,third,adult,female,no
1235,third,adult,female,no
1236,third,adult,female,no
1237,third,adult,female,no
1238,third,child,male,yes
1239,third,child,male,yes
1240,third,child,male,yes
1241,third,child,male,yes
1242,third,child,male,yes
1243,third,child,male,yes
1244,third,child,male,yes
1245,third,child,male,yes
1246,third,child,male,yes
1247,third,child,male,yes
1248,third,child,male,yes
1249,third,child,male,yes
1250,third,child,male,yes
1251,third,child,male,no
1252,third,child,male,no
1253,third,child,male,no
1254,third,child,male,no
1255,third,child,male,no
1256,third,child,male,no
1257,third,child,male,no
1258,third,child,male,no
1259,third,child,male,no
1260,third,child,male,no
1261,third,child,male,no
1262,third,child,male,no
1263,third,child,male,no
1264,third,child,male,no
1265,third,child,male,no
1266,third,child,male,no
1267,third,child,male,no
1268,third,child,male,no
1269,third,child,male,no
1270,third,child,male,no
1271,third,child,male,no
1272,third,child,male,no
1273,third,child,male,no
1274,third,child,male,no
1275,third,child,male,no
1276,third,child,male,no
1277,third,child,male,no
1278,third,child,male,no
1279,third,child,male,no
1280,third,child,male,no
1281,third,child,male,no
1282,third,child,male,no
1283,third,child,male,no
1284,third,child,male,no
1285,third,child,male,no
1286,third,child,female,yes
1287,third,child,female,yes
1288,third,child,female,yes
1289,third,child,female,yes
1290,third,child,female,yes
1291,third,child,female,yes
1292,third,child,female,yes
1293,third,child,female,yes
1294,third,child,female,yes
1295,third,child,female,yes
1296,third,child,female,yes
1297,third,child,female,yes
1298,third,child,female,yes
1299,third,child,female,yes
1300,third,child,female,no
1301,third,child,female,no
1302,third,child,female,no
1303,third,child,female,no
1304,third,child,female,no
1305,third,child,female,no
1306,third,child,female,no
1307,third,child,female,no
1308,third,child,female,no
1309,third,child,female,no
1310,third,child,female,no
1311,third,child,female,no
1312,third,child,female,no
1313,third,child,female,no
1314,third,child,female,no
1315,third,child,female,no
1316,third,child,female,no
